,Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
0,1674,American Decorative Arts,Side Chair,Side Chair,American,Unknown,1794,1799,"Mahogany, ebony, ash, birch, white pine","Friends of the American Wing Fund, 1962",United States
1,2430,American Decorative Arts,Pitcher,Covered Pitcher,American,Unknown,1700,1900,Earthenware,"Rogers Fund, 1913",United States
2,6406,American Decorative Arts,Plate,Plate,Dutch,Unknown,1740,1760,Earthenware,"Rogers Fund, 1933",Netherlands
3,7616,American Decorative Arts,Soup bowl,Soup Bowl,American,Unknown,1885,1885,Porcelain,"Gift of Mr. and Mrs. Franklin Chace, 1969",United States
4,15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,Unknown,1840,1840,Watercolor on ivory,"Fletcher Fund, 2006",Unknown
5,23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,Unknown,1701,1800,Steel,"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",Unknown
6,29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,Unknown,1770,1852,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",Unknown
7,32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,Unknown,1580,1580,Silver,"Gift of Bashford Dean, 1923",Unknown
8,34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,Unknown,1501,1600,"Pen, ink and watercolor on paper","Bashford Dean Memorial Collection, Funds from various donors, 1929",Unknown
9,34308,Arms and Armor,Partisan,Partisan,German,Unknown,1701,1800,"Steel, wood, textile, metallic thread","Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",Unknown
10,34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japanese,Unknown,1590,1900,"Iron, gold, silver, copper","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
11,35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,Spanish,Unknown,1800,1850,"Steel, horn, brass, leather, copper wire","Gift of Rutherfurd Stuyvesant, 1891",Unknown
12,39917,Asian Art,Hanging scroll mounted as handscroll,Unknown,Chinese,Chinese,1037,1101,Hanging scroll mounted as a handscroll; ink on paper,"Bequest of John M. Crawford Jr., 1988",Unknown
13,43092,Asian Art,Girdle ornament,Unknown,Chinese,Unknown,206 BC,206 BC,Jade,"Gift of Samuel T. Peters, 1913",Unknown
14,53280,Asian Art,Bracelet,Unknown,Thailand,Unknown,300 BC,400,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",Unknown
15,54547,Asian Art,Print,Unknown,Japanese,Japanese,1800,1899,Polychrome woodblock print (surimono); ink and color on paper,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
16,54626,Asian Art,Album leaf,Unknown,Japanese,Japanese,1877,1897,Album leaf; ink and color on silk,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",Unknown
17,55442,Asian Art,Print,Unknown,Japanese,Japanese,1838,1838,Polychrome woodblock print; ink and color on paper,"Rogers Fund, 1922",Unknown
18,58899,Asian Art,Inrō,Unknown,Japanese,Unknown,1800,1899,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",Unknown
19,62174,Asian Art,Basket,Unknown,Japanese,Unknown,1800,1899,Bamboo,"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",Unknown
20,67976,Asian Art,Piece,Unknown,Japanese,Unknown,1800,1899,Silk / Brocaded,"Rogers Fund, 1909",Unknown
21,72803,Asian Art,Hanging scroll,近代  蟬竹圖      軸|Bamboo and Cicada,Chinese,Chinese,1966,1966,Hanging scroll; ink and color on paper,"The Lin Yutang Family Collection, Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Lai, in memory of Taiyi Lin Lai, 2005",Unknown
22,77166,Asian Art,Drawing,Unknown,Indian,Unknown,1790,1810,Ink on paper,"Gift of Cynthia Hazen Polsky, 2011",Unknown
23,80735,Costume Institute,Belt,Belt,Japanese,Japanese,1983,1987,"leather, metal","Gift of Linda A. Rosenthal, 1993",Unknown
24,81291,Costume Institute,Pumps,Pumps,British,British,1980,1989,leather,"Gift of Holly Solomon, 1999",Unknown
25,81451,Costume Institute,Evening dress,Evening dress,American,American,1983,1984,rayon,"Gift of Calvin Klein, Inc., 1998",Unknown
26,83780,Costume Institute,Shoes,Shoes,Italian,Italian,1983,1989,synthetic,"Gift of Muriel Kallis Newman, 2002",Unknown
27,90373,Costume Institute,Earrings,Earrings,European,Unknown,1700,1899,metal,"Rogers Fund, 1909",Unknown
28,96100,Costume Institute,Evening dress,Evening dress,French,"French, born Italy",1966,1967,Unknown,"Gift of Mrs. William Rand, 1975",Unknown
29,98251,Costume Institute,Cap,Cap,French,Unknown,1800,1899,wool,Museum Accession,Unknown
30,100359,Costume Institute,Hat,Hat,French,French,1949,1949,"wool, cotton","Gift of Mary S. Ryan, 1981",Unknown
32,114490,Costume Institute,Mules,Mules,American,American,1959,1959,"leather, wood, metal glass","Gift of Beth and Herbert Levine, 1977",Unknown
33,119757,Costume Institute,Gloves,Gloves,French,Unknown,1950,1959,leather,"Gift of Mrs. Stowe C. Phelps, 1980",Unknown
34,127104,Costume Institute,Ensemble,Ensemble,Romanian,Unknown,1800,1939,"linen, wool","Gift of Miss Irene Lewisohn and Alice Lewisohn Crowley, 1939",Unknown
35,129839,Costume Institute,Ensemble,Ensemble,British,British,1976,1980,"a) leather; b) leather, metal","Purchase, Richard Martin Bequest and Friends of The Costume Institute Gifts, 2006",Unknown
36,145237,Costume Institute,Necklace,Necklace,American,Unknown,1967,1967,"synthetic, metal","Gift of Martin F. Price, 2017",Unknown
37,146150,Costume Institute,Jacket,Jacket,American,American,2003,2004,"leather, wool","Catharine Breyer Van Bomel Foundation Fund, 2008",Unknown
38,168579,Costume Institute,Chemisette,Chemisette,American,Unknown,1875,1899,Cotton,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Louise M. Coleman, 1941",Unknown
39,168781,Costume Institute,Fan,Fan,European,Unknown,1776,1799,"Ivory, paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",Unknown
40,169926,Costume Institute,Undersleeves,Undersleeves,American,Unknown,1848,1852,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",Unknown
41,170041,Costume Institute,Evening shoes,Evening shoes,American,American,1938,1943,"Leather, metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",Unknown
42,174460,Costume Institute,Ensemble,Ensemble,American,American,1950,1950,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",Unknown
43,187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,Greek,Unknown,1700,1750,"Steel, silver, niello; case:  leather, silver, niello","Gift of R. Stuyvesant, 1893",Unknown
44,190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,Unknown,1700,1799,Gilt bronze,"Gift of J. Pierpont Morgan, 1906",Unknown
